y1,y2,y3,y4,gen,race,income
99,100,1,1,0,1,47.7587349651942
99,100,100,100,1,0,45.403028456169
80,80,0,99,0,1,52.3046591615095
0,0,0,0,1,1,49.1101176674978
100,100,100,0,0,0,49.4729442807066
50,100,79,100,1,0,31.666365192928
85,99,98,100,1,0,50.7849302940565
0,100,100,100,1,1,48.9830096855902
20,80,0,0,1,1,50.318616797951
100,100,99,99,0,1,48.8440089768961
100,100,100,100,1,1,51.1606735628985
95,90,90,95,0,0,51.095825643998
32,32,3,65,0,0,55.487857754546
20,75,70,20,0,0,52.8617439762805
99,100,100,100,1,0,44.8276989353273
50,100,100,100,1,0,47.5998582696529
99,0,30,0,1,0,50.470361061786
100,100,95,85,1,0,53.687429103135
100,100,100,100,0,0,51.354306432156
100,50,75,0,0,0,50.634359425712
100,100,100,99,1,0,46.0344710755131
50,100,100,100,0,0,55.6462600079535
100,100,100,100,1,0,50.67140588492
100,100,100,100,0,0,50.226480791966
99,40,50,100,1,0,47.1596813567387
99,0,0,0,1,0,50.3269114609155
100,100,80,100,0,0,53.037017777213
90,100,100,100,0,0,50.184357804439
80,100,80,100,0,0,48.6797108091932
90,50,99,50,1,0,46.3898801175483
50,100,100,100,1,0,43.00240989315
0,0,0,0,1,0,47.9055621082299
0,0,1,0,0,0,52.318497117601
100,99,99,95,0,0,51.006109370772
50,0,0,0,1,0,51.9698608386915
100,100,100,20,1,0,49.2865144060232
100,85,100,99,1,0,45.146734391435
100,100,92,100,0,0,51.397669494267
38,85,90,99,0,0,45.7594130387098
90,90,100,100,1,0,52.5191288264615
1,0,100,100,0,0,46.496454793428
15,0,0,0,0,0,46.1330643059698
50,90,95,80,1,0,49.5468528831966
100,100,99,100,1,0,51.192635960596
90,10,49,100,0,0,50.686093912051
0,80,99,100,0,0,44.9448329621639
100,0,100,50,0,0,52.3323453486205
100,100,100,100,0,1,50.865711817733
25,20,75,50,0,0,48.8971219997353
75,100,100,80,0,0,51.0437561936855
100,100,100,100,1,0,49.2493479697622
100,100,100,100,0,1,53.798740199648
100,0,95,99,1,0,51.7021533861735
98,89,80,90,1,0,51.8156416676265
95,50,98,0,0,0,52.779452407614
75,0,0,50,0,0,53.2520031279595
50,99,100,100,1,0,47.9008381639002
50,99,100,0,1,0,44.2839932197193
100,100,100,100,0,0,51.9883796605245
95,99,90,95,0,0,53.627942904651
100,0,100,100,1,0,53.0722142250505
0,100,100,0,0,0,53.240585577312
100,0,0,0,1,0,46.3725471305371
50,95,75,98,0,0,50.7715841994055
0,100,90,100,1,0,38.1392548812173
95,50,60,60,0,0,52.464028623737
75,100,100,100,1,0,40.644332950708
100,100,100,99,0,0,43.6214498859225
100,0,0,0,1,0,50.6270148635335
50,75,100,65,1,1,44.3176800698529
50,75,100,100,1,0,48.4683786407097
0,100,0,88,0,0,54.330915072495
5,50,60,10,0,0,52.971169179559
95,50,50,50,0,0,49.9299334800627
45,0,20,45,0,0,52.7211317257625
75,75,100,100,0,0,52.6606912180465
5,1,5,4,0,0,33.5408154394415
0,100,92,95,0,0,45.3339198736722
65,100,95,100,1,1,44.0955890250002
100,100,100,100,1,0,49.2506673174285
100,50,50,50,0,0,50.3389138822625
0,0,100,50,0,1,40.2094860387493
100,99,0,100,1,0,51.7010054928465
75,45,50,50,0,1,49.8339882935819
0,99,100,100,1,0,51.078592020743
50,50,80,80,0,0,52.3513918657065
0,0,100,0,0,0,53.77779352533
99,75,100,0,1,0,48.2931702627799
100,95,99,99,1,1,44.7389659883556
90,100,100,100,1,0,49.3032430014772
75,70,75,75,0,0,57.3175484685775
96,100,0,99,0,0,53.9377132896875
10,100,0,25,1,0,48.9635241311938
100,95,100,100,0,0,53.1555025893885
99,90,95,30,0,0,50.79368755048
100,100,100,100,0,0,41.5983654196529
50,100,100,100,0,0,48.7776615253515
70,25,50,25,0,0,52.875271400723
99,100,100,99,1,0,51.169937839703
100,0,100,0,1,0,52.649983932832
50,75,65,75,0,0,54.165556410177
25,75,10,25,0,0,49.6542291199824
100,4,100,100,0,0,49.2500657402677
90,80,100,75,0,0,49.7243818267922
90,100,100,100,1,1,52.312087095878
95,100,100,100,0,0,56.346729321618
0,99,90,90,1,1,49.1479328454098
10,80,75,75,0,1,49.8271343551311
50,95,100,100,0,0,53.693736949834
20,100,100,50,1,1,40.3502112996359
50,0,50,100,1,1,42.3402420444765
99,10,0,90,0,1,47.697895270175
25,30,0,50,1,1,39.4902307251174
